Unnamed: 0,syd,did,wei,symptom,diagnose
369,32.0,698.0,0.0,flank pain,shingles:herpes zoster
370,37.0,698.0,0.0,groin pain,shingles:herpes zoster
371,39.0,698.0,0.0,"hand, finger ache or pain",shingles:herpes zoster
372,52.0,698.0,1.0,skin itching,shingles:herpes zoster
373,54.0,698.0,0.0,kidney pain (flank pain),shingles:herpes zoster
374,67.0,698.0,0.0,neck ache or pain,shingles:herpes zoster
375,81.0,698.0,0.0,rash,shingles:herpes zoster
376,152.0,698.0,1.0,painful rash,shingles:herpes zoster
377,187.0,698.0,0.0,jaw pain,shingles:herpes zoster
378,191.0,698.0,1.0,skin pain,shingles:herpes zoster
379,208.0,698.0,0.0,foot itching,shingles:herpes zoster
382,225.0,698.0,0.0,arm itching,shingles:herpes zoster
383,226.0,698.0,0.0,hand redness,shingles:herpes zoster
384,227.0,698.0,0.0,foot redness,shingles:herpes zoster
385,228.0,698.0,1.0,arm redness,shingles:herpes zoster
386,229.0,698.0,1.0,leg redness,shingles:herpes zoster
387,230.0,698.0,0.0,hand itching,shingles:herpes zoster
388,231.0,698.0,0.0,leg itching,shingles:herpes zoster
389,234.0,698.0,1.0,armpit pain,shingles:herpes zoster
390,238.0,698.0,1.0,skin sores,shingles:herpes zoster
391,239.0,698.0,1.0,chest burning,shingles:herpes zoster
392,244.0,698.0,1.0,face numbness (paresthesias),shingles:herpes zoster
393,262.0,698.0,1.0,chest pain,shingles:herpes zoster
394,1.0,789.0,1.0,upper abdominal pain,unstable angina:pre heart attack chest pain
395,6.0,789.0,1.0,arm ache or pain,unstable angina:pre heart attack chest pain
396,7.0,789.0,1.0,back ache or pain,unstable angina:pre heart attack chest pain
397,13.0,789.0,2.0,chest pressure,unstable angina:pre heart attack chest pain
398,66.0,789.0,1.0,nausea,unstable angina:pre heart attack chest pain
399,88.0,789.0,1.0,shortness of breath,unstable angina:pre heart attack chest pain
